transcription,transcription_length
"네, 제가 롯데캐피타 심사 결과 확인돼서 연락드렸고, 통화 괜찮으신가요? 네. 금융사의 금융사 그래서 고객님께서 꼭 필요한 자금이 있다고 하시면 제가 현재 상황에서 가능한 방향을 확인해보고 연락을 드린 거고요. 이 방향을 간략하게 설명을 드릴 거니까 잘 한번 들어보시고 말씀만 해주시면 됩니다. 기존의 고객님께서 진행하셨던 중개업체들처럼 여기저기 전화받으려 하며 신용조회 기록들을 남겨가며 진행하시는 대출이 아니라 산업체 쪽에서 고객님한테 금융사 한 곳을 배정을 해주실 겁니다. 그럼 배정받은 금융사로 본인이 직접 접수를 할 거고 접수하시고 나면 승인이 나서서 고객님 통장으로 대출금 입금까지 받으실 수 있도록 다 처리해 드릴 거고요. 도대적으로는 두 달 동안 신용관리를 도움을 드릴 겁니다. 그래서 두 달 관리기간 이후엔 기존에 고객님께서 대출받았던 산화머니하고 리드코프랑 OK저축은행 세 군데 있잖아요. 이 세 군데는 금리가 다 높더라고요. 조회기록을 절대 생성을 하시면 안되고요. 그리고 또 다른 데 대출을 알아보시면서 조회기록을 남기시면 안되거든요. 그래서 이 두 가지를 두 달 동안 정확하게 이행을 해주셔야 로테캐피탈에서 두 달 후에 금리 9%로 대반 대출을 해드릴 수가 있는 거고요. 일단은 이번에 생활자금으로 나가시는 대출금에 한해서는 지금 제가 설명드린 내용 들으셨으면 고객님께서도 충분히 이해하셨겠지만 이게 정상적인 방법으로 진행되시는 대출은 아닙니다. 그런데 이게 제가 왜 설명드리냐면 고객님 사항에서는 또 다른 데 서류 돌린다고 해서 대출이 나올 수 있는 상황이 아니기 때문에 제가 설명을 드리는 거거든요. 이게 편법으로 진행되는 대출이고 고객님 본인 자력으로 안 되는 대출 진행하는 과정에서 비용이 따로 발생이 되십니다. 그런데 비용이 발생이 된다고 해서 고객님께서 본인이 먼저 부담을 하시라고 말씀을 드리는 건 당연히 아니고요. 승인이 나셔서 대출금 입금을 먼저 받아보실 겁니다. 그럼 본인이 입금받은 거 다 확인하시고 그 이후에 전산업체 쪽으로 후불제로 비용 결제해 주시면 되거든요. 이 비용 같은 경우에는 고객님은 그래도 다른 분들에 비해서는 그나마 낮은 금액으로 측정이 되셨고요. 진행하시는 대출금액의 33%로 측정이 되셨고요. 33%라고 하면 100만원당 33만원이 전산비용으로 발생이 된다고 생각을 하시면 되거든요. 이게 100% 가능하신 대출이라 해서 제가 설명을 드린 거고 진행하실 의사가 있다고 하시면 오늘 안쪽으로 성원처리까지 진행에 다 도움을 드릴 거고요 의사가 없다고 하시면 서류는 제가 안전하게 폐기를 해드릴 거고요 그렇죠 이번에 나가는 대출에 한해서는 고객님 자료용으로 대출이 나가는 게 아니다 보니까 비용이 따로 한번 들어가시는 거예요 저렴한 비용은 고객님 생각이 틀린다는 건 아니에요. 사퀴도 100% 나오죠 이자가 하루에 한 번씩 갚는거잖아 나중에 계산하면 이자가 장난이 아니에요 그게 10만원이 아니라 10만원은 선이자 빼는거고 이제 이자 계속 있잖아 서류 피계를 해야 한다",1471
"네, 네, 네. 아, 그리고 통화해보셨어요, 고객님? 아, 저 통화했는데요. 이제 좀 이상해야지. 내가 지금 상황을 지금 안 하고 있습니다. 어떤 것 때문에 그러세요, 고객님? 아니, 아니, 저 지금 유진저축은행에서 이제 돈을 넣으라는데 부산원의 그 불러주셔서 거기다 돈을 넣으라 그러니깐 제가 잘 이해가 안 돼서. 아, 저 지금 그쪽 유진 쪽에서 공문 확인해서 연락드린 건데 그쪽에서 저희 쪽으로도 계좌 안내를 해주셨어요, 고객님. 예, 그쪽도 이건 조금 이해가 안 되죠. 하여튼 제가 알아보고 하여튼 연락드릴게요. 좀 기다려보세요. 아, 예, 알겠습니다. 고객님.",317
네 고객님. 네. 근데 제가 전화해보니깐 없으시다고 하던데요? 어느 부분에 연락을 주신 건가요? 잠실 우리은행 그 금융센터. 고객님 우리은행 지점이 여러 군데 있어서요. 네. 주신 거 맞으신가요? 네 맞습니다. 영업 1팀으로 연락 주신 거 맞으세요? 영업 1팀은 아니고요. 대표 번호로. 저희가 지점이 크다 보니까 기본적으로 이제 1층 일반 부서에서는 저희 대출팀 직원을 모를 수도 있어요. 대출 영업 대출 1팀으로 연락을 하셔서 여행을 보시면은 이제 확인이 다 되시는 부분이시고요. 대출 1팀요 영업 대출 1팀요. 예 그리고 고객님 삼성카드 같은 경우에는 고객님께서 삼성카드로 연락 주시고 저 완납 처리해주신 부분이시잖아요. 저희한테 뭐 해드린 게 없고. 근데 삼성카드에서 확인이 안되니까요. 그게 제가 제가 지금 제가 그 얘기 말씀 안 드렸어요 고객님? 이게 법무용 납부증명서 같은 경우는 공문서가 이미 확인이 되셨기 때문에 다른 상담원이 확인이 안 될 수가 있어요. 앞전에 제가 분명히 말씀드렸듯이 이게 납부처리가 바로 들어가는게 아니고 상환처리가 고객님께서 저희 쪽 대출을 못 받아보시거나 고객님께서 다시 환급을 받아보실 수 있도록 중간에 지금 법무팀에서 보관을 하고 예치하고 있는 상황이라서요. 고객님. 그러면 제가 삼성카드에 확인을 어떻게 하죠? 전화해서.,653
일단 잘 알겠고요. 저희들이 KB 금융계열사 KB 저축은행인데요. 지금 5월달에 저희들이 대환대출 플러스 생활루지자금 쪽으로 나온 대출상품이 있어요. 네 그리고 연 이율이 7.8%대로 진행하는 부분이고 상환기간이 5년까지고요. 중도상환 가능하고 수수료 발생이 없이 원리금 변동 분할 상환 혹은 만기일 시 상환적으로 이자만 갚으셔도 되는 부분이에요. 네. 일단 잘 알겠고요. 맞으시죠? 네. 네. 고객님 혹시 지금 사용하고 있는 휴대폰은 본인 이름으로 되어있는 거 맞으세요? 네. 예. 통신사는 SKT에요? LG에요? SK요. 예. 삼성 스마트폰 맞으세요? 네. 혹시 카톡은 사용하고 계세요? 네. 그러면 카톡 추가해서 상호하고 제 이름 넣어드릴게요. 왜요? 고객님 저한테 전화를 주셔서 통화 중에 제가 전화를 못 받으면 카톡으로 연락을 할 수도 있어서 그런 거 아니에요. 전화를 주세요. 네? 전화를 주시면 됩니다.,456
"지하철 전문 배송 업체고요 그리고 물건 자체는 무거운 게 아니고 법원에 들어간 공탁서류 부동산 자동차 매매 매입 서류 인테리어 견적서 견적 내역서 이런 거 있죠 서류 배송은 힘든 거 없으시고 일당은 당일로 바로바로 지급을 해드리고 한 건당 15,000원이에요 저희가 또 일 잘하시면 저희 또 예단 예물 같은 거 배송권도 있어요 그런 거는 처음 모시는 분한테 바로 드리는 게 아니고 일 좀 빨리빨리 잘 해주시면은 예단 예물 같은 경우는 단가가 좀 세요 그리고 각 출귄마다 저희쪽 직원분들이 나와있어요. 직원분들한테 전개해주시면 그 직원분들이 얘네들이 법원에 들어가는 공탁소리로 직접 또 법원까지 배송을 하시는거고. 자체를 중간에 이동하시면서 배송만 해주시면 되는거에요. 예를 들어서 제가 노포역에서 물건을 받아서 심평역까지 가라고 하면 심평역 가면 그쪽의 집 담당 직원분이 나와있어요. 각 출근마다 나와있어요. 연락 같은 건 어떻게 합니까 그쪽에 신청이냐고 여기 도착을 했으면 예를 들어 가지고 9시 반에서 저희가 2시까지에요 출근을 어디로 하시냐면 9시 반까지 자택에서 가까운 지하철을 요구를 하시면은 제가 전화상으로 일거리를 드리는데 본인은 오늘 나온 인상차지 예를 들어 청바지에 검은색 티 입으셨다 이번 출근에 나와 계세요 이번 출근에 나와 계실 거 아니에요 수상차게 말씀해 드리고 실버 물류에서 나오셨어요 확인 후에 서류 확인하고 건네주시고 이렇게 하시고",705
"여보세요? 아, 예, 안녕하세요 고객님. 새롭게 시작하는 OO 은행 디모 대리라고 합니다. 네, 제가 전화드린 건 다름이 아니고요. 고객님께서 마이너스 통장 발급 신청 희망해 주신다고 하셔서 제가 상담차 연락드렸고요. 네, 발급 신청해 주신 고객님 본인이 맞으신가요? 네, 그러시면 제가 간단하게 상품 설명 먼저 도와드려도 괜찮으시겠어요? 네, 저희 OO 은행 마이너스 통장은 연금리 최저 3.7%에서 최대 7.5%까지 저렴하게 출시가 되었고요. 최대 5천만원까지 이용 가능하신데, 한도와 금리는 고객님의 신용등급에 따라 차단 적용되시고요. 5년 동안 금리 변동 전혀 없이 고정금리로 사용 가능하신 마이너스 통장 상품이세요.",349
"중앙회에서 취급하는 일반 신용대출, 담보대출이 아니시고요. 한국자산관리공사는 정부정책자금입니다. 한국자산관리공사는 여기서 최종 승인이 나셔야 여기서 심사가 이루어지시는데요. 거기서 최종 승인을 받으신 고객님께서는 대출금은 고객님 사시는 지역 근처 중앙회로 내방하셔서 대출금 수령이 가능하시고요. 접수가 이관이 되세요. 거기로 배정을 제가 접수를 이관시켜드리면은 거기 대출 전문 담당자님이 배정 받으실 겁니다. 고객님께서. 정부 정책 자금이에요. 정부에서 하는 자금이시고요. 정부 지원하시는 거고 저희가 접수처만 높이시고요. 고객님.",297
저희 햇살론 특성상 채무가 3개월 이상 쓰셔야 햇살론 진행이 가능하시거든요 3개월치 안되신 채무가 있으셔서 이 부분에 문제가 생기신 겁니다 어떻게 바로 선금 가능하시니까 일단은... 뭘 해결을 해야지... 네네네 근데 이제 O하고 OO축은행이잖아요 이쪽에서 한 군데만 정리를 하셔도 저희 쪽에서 자금이 나가거든요 제가 말씀드리는 거는 한 군데만 정리하셔도 OO축은행이 저희 쪽으로 대환이 가능하시다고 말씀을 드리는 거예요,235
"네 관심 있으신거구요? 네 사용료는 하루에 18만원씩이고 일시불은 아니고 하루하루 들어가시는거에요 저희는요 하루하루 이렇게 돌려온다고요? 그 자로? 일주일까지는 매일매일 들어가구요 일주일 지나고 그 다음주부터는 저희가 2주치씩 선불로 넣어드려요 그러면 과거에는 일시불로 넣어드렸는데 그러다보니까 돈만 받고 연락 안되시는 분들 계시더라구요 그래서 처음에는 매일매일 들어가시고 일주일 경과되면 그 다음에 2주치 들어가시죠 다음주부터. 네 맞아요. 그 다음주부터. 2주씩 들어가고 한 달 경과하시면 저희가 최대 3개월까지인데 두 번째 달 진행하시면 두 번째 달, 세 번째 달은 한 달씩 이렇게 넣어드리고 순차적으로. 처음부터는 못해드리고 그렇게 진행되세요. 그러고 실례지만 지금 거기가 무슨 회사입니까? 예, 회사 맞아요. 사장님. 회사에서 뭐 이렇게 뭐 뭐 뭐 뭐 세금부 부분부터 세금부 부분부터 이렇게 부담해가지고 좀 작게 내려고 그렇게 돈을 드리고 세금보다 적게 나오니까 2만원 돈을 드리는 거구요. 국민, 기업, 농협 제외하고요. 국민, 농협, 기업 제외해야 된다고요? 어느 은행까지? 주로 우체국 많이 쓰고요. 우체국 많이 쓰고. 그 다음에 우리은행. 네? 우체국 총장 한 개 해가지고 체크카드 내가지고 그냥 쓰고 있죠 우리는 신용카드 자체가 발급이 안되잖아요 우체국 같은 경우는 체크카드를 계속 사용하셨던거구요 우리은행 말씀하신거 따른 우리은행도 체크카드를 계속 사용하셨던건가요? 아니요 우리은행도 체크카드를 안선대 왜냐면 은행이 많이 없잖아요 그러다보니까 창원이거든요 우체국은 동네 우체국도 많고 여러군데 있는데 우리은행은 좀 우리은행 카드 말입니까? 체크카드요. 체크카드는 없어요. 통장은 있는데 체크카드는 발급받으면 되는 거 아닙니까? 외환은행이 있다고 하지 않으셨어요? 아니요. 우리은행. 우리은행. 사용 안 하신 지 얼마나 되셨어요? 통장에 우리은행이? 그 통장 그래 안 한 지는 좀 계속 되는데요. 얼마나 되셨죠? 한 몇 년 되었죠? 아마 해지가 돼서 재발급을 받으셔야 될 거예요. 신규로요. 휴면 계좌가 잡혀있으니까 카드를 발급 받으시거나 만약에 휴면 계좌에서 해제가 됐다고 하면 재발급 하나 받으시면 되시고 만약에 사장님께서 두 개를 하셨다면 그렇게 은행 가셔서 신규로 다른 데 거 하나 발급 받으시면 되시고 하나만 하시겠다고 하시면 우체국 하나만 진행하셔도 되시고요 우리은행이나 가까운 은행 있으시면 신규로 발급 받으시면 되세요. 카드가 있어야 되요. 사용을 우리은행 안하셨기 때문에 1일 입출금 한도가 기본이 600만원이에요. 사용을 오랫동안 안하시면 한도가 60만원으로 줄어요. 한도가 600만원을 기본이 올려달라고 사용을 안하다가 카드 만들러 왔는데 한도가 요즘에 준다는 이야기가 있는데 사용을 안하면 기본한도가 얼마나 되어있냐고 다시 사용할거니까 정상적으로 기본한도 600만원으로 올려달라고 말씀하시면 올려주실거에요. 만약에 해지가 되서 다시 발급받아야 됩니다 하면 은행에서 신규로 발급받으셔도 되시는데 은행에서 통장도 발급 받기가 쉽지는 않아요. 예를 들어서 우리은행 갔는데 통장 발급이 안 될 수도 있어요. 카드랑. 그러면 다른 은행 가보시면 되세요. 은행마다 차이가 있기 때문에. 개인회견 중이잖아. 은행 통장만 하고 이런 거 발급하는 건 아무 지장 없던데. 일반 신용불량자나 회생 아니셔도요. 통장 발급받는데 요즘에 이것저것 물어보고 하는 경우가 있어요. 사장님은 전에 계산한 게 있었는데 아까 말씀드린 말대로 거래를 안 하다 보니까 사용은 안 하죠. 돈도 없고. 은행을 가셨다가 확인하고 연락을 주세요. 사장님. 그게 제일 빨라요. 우체국은 신규 발급 안 돼요. 우리은행에 가서 그러면 통장을 지금 있는 통장을 가지고 이게 후임 계정 아닌가 확인을 해봐야 되겠네요? 은행 가셔서 아까 말씀드린 대로 그거 확인해 보시고 만약에 뭐 우리은행 아니고 다른 은행이라도 신규로 발급받는 건 무조건 기본 한도가 600으로 돼 있어요 사장님? 바로 이체를 할 수 있는? 이체가 아니고 출금 한도 출금 한도 이체 한도 이체 한도가 그거를 600만원 이체하라고요? 이체 한도가 아니고요 출금 한도가 기본이 600만원이에요 사장님 하루에 출금을 할 수 있는 한도가 600만원으로 우리은행 같은 경우 사용을 안 하셨으니까 한도가 아마 60만원으로 줄어들어 있을 거예요. 그거를 올리면 되는 거고 만약에 신규로 발급받는 건 상관이 없고요. 그래요? 신규는 상관이 없고요. 통장에 있으니까 가서 카드 발급 받으시고 그것만 확인을 해달라고 해서. 이 번호로 연락 주시면 되세요. 대부분 연락을 드리겠습니다. 예 알겠습니다. 지금 전화번호로 하면 됩니까? 예 몇 시경이나 되실 것 같죠 사장님? 월요일날 연락을 주세요. 주말엔 저도 쉬니까요. 아 그렇죠 그러면 은행이 어디 어디였었죠? 네 통장하고 카드 재발급 받으셔야 되는데 혹시 지금 사용하시는 농협하고 우체국 계좌에 자동이체가 설정되어 있거나 자금이 들어온다거나 빠져나가는 게 있으세요? 네. 인출한도가 600만원인 체크카드를 만들어달라고 하루에 찾을 수 있는 최대 인출한도에요. 하루에 600만원 밖에 못 찾는 건가요? 금액이 한도가 600만원까지 할 수 있도록 해달라고 말이죠? 네. 그렇죠. 신용등급이나 평점 이런 부분하고는 무관하시니까 어느 누구나 가셔도 최대 인출한도 해달라고 하시면 돼요. 그래요? 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 네. 계좌 개수가 2개자니까요. 최대한 2개자 만들어 주시고요. 만약에 우리하고 외환 우리은행 먼저 가셔서 우리은행은 되었는데 외환은행 가셔서 하루에 재발급이 2번 3번씩 같이 안 될 수도 있거든요. 한 달에 한 번만 가능할 수도 있습니다. 그러면 우리은행 외환 중에 하나만 하시고요. 다 되면 두 군데 그냥 하시면 되고 그러면 우리은행 외환 두 군데 다가 안 된다. 한 군데만 되시면 지금 사용하신 농협이나 우체국 계좌 중에 전기요금이나 공과금은 우체국으로 많이 하고 있고요. 농협으로는 월급이 들어가거든요. 금액은 어느정도 선이 되시죠? 25일날? 어차피 그 금액은 신경 안쓰셔도 되고 그러니까 3만 얼마 나가시는거 말고 또 있으세요 혹시? 아 그래요? 2군데 다 되면 2군데 하시고요. 만약에 크게 제가 불편함이 없으시면 따로 정리하실 필요 없으니까 우체국 계좌까지 하셔가지고 새 계좌 진행도 가능하시고요. 그럼 이 대로 600이죠. 저희도 좋고 진행하시는 분 또 금액이 많아지기 때문에 좋습니다. 계좌 개수가 많아지면. 그러면 우체국이 저희 측에서 대납 처리해드리고 돈 얼마 안 되는 거 저희가 해드린다 했는데 불편하시다. 우리 외환 2군데 하시면 되는데 예를 들어서 우리 외환 2 중에 1군데 계좌만 재발급이 되었다. 우체국이나 우리 이렇게 하셔서 두 계좌 진행을 하셔야 될 겁니다. 따로 정리하실 필요 없잖아요. 우체국 계좌는 그냥 진행하시면 돼요. 그대로 자동이체 걸려져 있는 상태에서. 그래서 저희가 만약에 저희 자금이 빠져나간 거나 그런 부분이 있으시면 저희가 그만큼 임대료 차감하고 드리면 되니까요. 그러면 우체국의 계좌 잔금은 진행을 하시려면 재료를 만들어 주셔야 되겠죠. 농협계좌 이용하시는거 불편하시구요? 아 그러세요? 그러면 그 사용하시는 것을 우체국 계좌를 양도하셨을 경우에 기본적으로 입금 받고 출금 받고 쓰셨던 부분을 우체국은 당분간 사용하지 마시고 농협으로 다 사용을 하시면 되겠죠. 아 그러니까 지금 이체되고 있는 그거를 우체국으로 하지 말고 전기요금하고 이런 걸 다 그쪽으로 하라고 바꿔야 되겠네요? 아니요 아니요. 그렇게 하실 필요가 없다고요. 우체국은 지금 현재 전기세나 이런 부분이 소액들이 많이 걸려 있잖아요. 네. 그러지 말고 제가 보니까 우리은행하고 그 외환은행만 해도 될 거거든요 그러니까 두 군데 다 되면요 두 계좌로 하시면 되고요 그러니까 우리 외환 둘 중에 만약에 한 계좌만 되고 나머지는 재발급이 안 된다 그러면은 이제 최소 진행하실 수 있는 계좌 조건이 두 계좌니까 그 상황이 되시면은 우체국 계좌를 좀 끼워서 같이 하셔야 되고요 우리 외환 다 되시면은 굳이 하실 필요는 없습니다 우체국 계좌는 어차피 두 계좌가 되니까 네 방문하고 있다. 미리 주시면 제가 또 시간을 비워놓고 기다릴 수 있으니까. 아 은행 가기 전에 전화를 미리 해라 이 말이죠? 그렇죠 그렇죠. 네 알겠습니다. 네 감사합니다.",4584
"그건 직접 해야지. 오늘 보내주시면 이번 주 금요일날 아이디카드 제작이 끝났을 거예요. 그러면 혹시 주말에 교육 일정을 잡아드려도 괜찮을까요? 그러면 이번 주 주말에 교육 일정을 잡아드릴 거고요. 그러면 월요일부터 정상 근무하시면 되시는 거죠. 거기 다시 회사 이름 좀 알려주세요. 네, 네이버나 다음에요. 검색을 해보세요. 한글로요. 네, 한시, 두시 할 때 네 알겠습니다. 그러면 지금 뭘 보내드리면 돼요? 내일 오전 중으로 신호 확인을 해드릴 거고요. 바로 아이디 카드 대상으로 해드릴 거예요. 네 알겠습니다. 네 그럼 이력서 지금 혹시 한번 틀렉해 놓으신 거 있으신가요? 어 지금 뽑아야 돼요. 아 그럼 어 그러면 이력서 한번은 뽑아주시고요. 혹시 보미 은행 통장이랑 연결한 그 카드 안에요. 잔액 같은 거 있으신가요? 어 네 있어요. 아 잔액 있으시면요. 다른 곳에 다 빼주시면 엘체해 주시겠어요? 네 알겠습니다. 네 알겠습니다. 출력하신데 시간이 오래 안 걸리실 거잖아요. 네네네. 3시 정도까지. 3시까지요? 네 알겠습니다. 그러면 3시까지 제가 다시 한번 연락드릴 거고요. 혹시 그전에 준비 다 되셨으면 제 이 번호로 연락 주셔서요. 김소영 씨 찾아주신다고 말씀해 주시겠어요? 네 알겠습니다. 네.",622
